movieId,title,genres,release_year
1,Toy Story,"adventure, animation, children, comedy, fantasy",1995
2,Jumanji,"adventure, children, fantasy",1995
3,Grumpier Old Men,"comedy, romance",1995
4,Waiting to Exhale,"comedy, drama, romance",1995
5,Father of the Bride Part II,comedy,1995
6,Heat,"action, crime, thriller",1995
7,Sabrina,"comedy, romance",1995
8,Tom and Huck,"adventure, children",1995
9,Sudden Death,action,1995
10,GoldenEye,"action, adventure, thriller",1995
11,"American President, The","comedy, drama, romance",1995
12,Dracula: Dead and Loving It,"comedy, horror",1995
13,Balto,"adventure, animation, children",1995
14,Nixon,drama,1995
15,Cutthroat Island,"action, adventure, romance",1995
16,Casino,"crime, drama",1995
17,Sense and Sensibility,"drama, romance",1995
18,Four Rooms,comedy,1995
19,Ace Ventura: When Nature Calls,comedy,1995
20,Money Train,"action, comedy, crime, drama, thriller",1995
21,Get Shorty,"comedy, crime, thriller",1995
22,Copycat,"crime, drama, horror, mystery, thriller",1995
23,Assassins,"action, crime, thriller",1995
24,Powder,"drama, sci-fi",1995
25,Leaving Las Vegas,"drama, romance",1995
26,Othello,drama,1995
27,Now and Then,"children, drama",1995
28,Persuasion,"drama, romance",1995
29,"City of Lost Children, The (Cité des enfants perdus, La)","adventure, drama, fantasy, mystery, sci-fi",1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao),"crime, drama",1995
31,Dangerous Minds,drama,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys),"mystery, sci-fi, thriller",1995
34,Babe,"children, drama",1995
36,Dead Man Walking,"crime, drama",1995
38,It Takes Two,"children, comedy",1995
39,Clueless,"comedy, romance",1995
40,"Cry, the Beloved Country",drama,1995
41,Richard III,"drama, war",1995
42,Dead Presidents,"action, crime, drama",1995
43,Restoration,drama,1995
44,Mortal Kombat,"action, adventure, fantasy",1995
45,To Die For,"comedy, drama, thriller",1995
46,How to Make an American Quilt,"drama, romance",1995
47,Seven (a.k.a. Se7en),"mystery, thriller",1995
48,Pocahontas,"animation, children, drama, musical, romance",1995
49,When Night Is Falling,"drama, romance",1995
50,"Usual Suspects, The","crime, mystery, thriller",1995
52,Mighty Aphrodite,"comedy, drama, romance",1995
53,Lamerica,"adventure, drama",1994
54,"Big Green, The","children, comedy",1995
55,Georgia,drama,1995
57,Home for the Holidays,drama,1995
58,"Postman, The (Postino, Il)","comedy, drama, romance",1994
60,"Indian in the Cupboard, The","adventure, children, fantasy",1995
61,Eye for an Eye,"drama, thriller",1996
62,Mr. Holland's Opus,drama,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"comedy, crime",1996
64,Two if by Sea,"comedy, romance",1996
65,Bio-Dome,comedy,1996
66,Lawnmower Man 2: Beyond Cyberspace,"action, sci-fi, thriller",1996
68,French Twist (Gazon maudit),"comedy, romance",1995
69,Friday,comedy,1995
70,From Dusk Till Dawn,"action, comedy, horror, thriller",1996
71,Fair Game,action,1995
72,Kicking and Screaming,"comedy, drama",1995
73,"Misérables, Les","drama, war",1995
74,Bed of Roses,"drama, romance",1996
75,Big Bully,"comedy, drama",1996
76,Screamers,"action, sci-fi, thriller",1995
77,Nico Icon,documentary,1995
78,"Crossing Guard, The","action, crime, drama, thriller",1995
79,"Juror, The","drama, thriller",1996
80,"White Balloon, The (Badkonake sefid)","children, drama",1995
81,Things to Do in Denver When You're Dead,"crime, drama, romance",1995
82,Antonia's Line (Antonia),"comedy, drama",1995
83,Once Upon a Time... When We Were Colored,"drama, romance",1995
85,Angels and Insects,"drama, romance",1995
86,White Squall,"action, adventure, drama",1996
87,Dunston Checks In,"children, comedy",1996
88,Black Sheep,comedy,1996
89,Nick of Time,"action, thriller",1995
92,Mary Reilly,"drama, horror, thriller",1996
93,Vampire in Brooklyn,"comedy, horror, romance",1995
94,Beautiful Girls,"comedy, drama, romance",1996
95,Broken Arrow,"action, adventure, thriller",1996
96,In the Bleak Midwinter,"comedy, drama",1995
97,"Hate (Haine, La)","crime, drama",1995
99,Heidi Fleiss: Hollywood Madam,documentary,1995
100,City Hall,"drama, thriller",1996
101,Bottle Rocket,"adventure, comedy, crime, romance",1996
102,Mr. Wrong,comedy,1996
103,Unforgettable,"mystery, sci-fi, thriller",1996
104,Happy Gilmore,comedy,1996
105,"Bridges of Madison County, The","drama, romance",1995
106,Nobody Loves Me (Keiner liebt mich),"comedy, drama",1994
107,Muppet Treasure Island,"adventure, children, comedy, musical",1996
108,Catwalk,documentary,1996
110,Braveheart,"action, drama, war",1995
111,Taxi Driver,"crime, drama, thriller",1976
112,Rumble in the Bronx (Hont faan kui),"action, adventure, comedy, crime",1995
113,Before and After,"drama, mystery",1996
116,Anne Frank Remembered,documentary,1995
117,"Young Poisoner's Handbook, The","crime, drama",1995
118,If Lucy Fell,"comedy, romance",1996
119,"Steal Big, Steal Little",comedy,1995
121,"Boys of St. Vincent, The",drama,1992
122,Boomerang,"comedy, romance",1992
123,Chungking Express (Chung Hing sam lam),"drama, mystery, romance",1994
125,Flirting With Disaster,comedy,1996
126,"NeverEnding Story III, The","adventure, children, fantasy",1994
128,Jupiter's Wife,documentary,1994
129,Pie in the Sky,"comedy, romance",1996
132,Jade,thriller,1995
135,Down Periscope,comedy,1996
137,Man of the Year,documentary,1995
140,Up Close and Personal,"drama, romance",1996
141,"Birdcage, The",comedy,1996
144,"Brothers McMullen, The",comedy,1995
145,Bad Boys,"action, comedy, crime, drama, thriller",1995
146,"Amazing Panda Adventure, The","adventure, children",1995
147,"Basketball Diaries, The",drama,1995
148,"Awfully Big Adventure, An",drama,1995
149,Amateur,"crime, drama, thriller",1994
150,Apollo 13,"adventure, drama, imax",1995
151,Rob Roy,"action, drama, romance, war",1995
152,"Addiction, The","drama, horror",1995
153,Batman Forever,"action, adventure, comedy, crime",1995
154,Beauty of the Day (Belle de jour),drama,1967
155,Beyond Rangoon,"adventure, drama, war",1995
156,Blue in the Face,"comedy, drama",1995
157,Canadian Bacon,"comedy, war",1995
158,Casper,"adventure, children",1995
159,Clockers,"crime, drama, mystery",1995
160,Congo,"action, adventure, mystery, sci-fi",1995
161,Crimson Tide,"drama, thriller, war",1995
162,Crumb,documentary,1994
163,Desperado,"action, romance, western",1995
164,Devil in a Blue Dress,"crime, film-noir, mystery, thriller",1995
165,Die Hard: With a Vengeance,"action, crime, thriller",1995
166,"Doom Generation, The","comedy, crime, drama",1995
168,First Knight,"action, drama, romance",1995
169,Free Willy 2: The Adventure Home,"adventure, children, drama",1995
170,Hackers,"action, adventure, crime, thriller",1995
171,Jeffrey,"comedy, drama",1995
172,Johnny Mnemonic,"action, sci-fi, thriller",1995
173,Judge Dredd,"action, crime, sci-fi",1995
174,Jury Duty,comedy,1995
175,Kids,drama,1995
176,Living in Oblivion,comedy,1995
177,Lord of Illusions,horror,1995
178,Love & Human Remains,"comedy, drama",1993
179,Mad Love,"drama, romance",1995
180,Mallrats,"comedy, romance",1995
181,Mighty Morphin Power Rangers: The Movie,"action, children",1995
183,Mute Witness,"comedy, horror, thriller",1994
184,Nadja,drama,1994
185,"Net, The","action, crime, thriller",1995
186,Nine Months,"comedy, romance",1995
187,Party Girl,comedy,1995
188,"Prophecy, The","fantasy, horror, mystery",1995
189,Reckless,"comedy, fantasy",1995
190,Safe,thriller,1995
191,"Scarlet Letter, The","drama, romance",1995
193,Showgirls,drama,1995
194,Smoke,"comedy, drama",1995
195,Something to Talk About,"comedy, drama, romance",1995
196,Species,"horror, sci-fi",1995
198,Strange Days,"action, crime, drama, mystery, sci-fi, thriller",1995
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)","drama, musical, romance",1964
201,Three Wishes,"drama, fantasy",1995
202,Total Eclipse,"drama, romance",1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar",comedy,1995
204,Under Siege 2: Dark Territory,action,1995
205,Unstrung Heroes,"comedy, drama",1995
206,Unzipped,documentary,1995
207,"Walk in the Clouds, A","drama, romance",1995
208,Waterworld,"action, adventure, sci-fi",1995
209,White Man's Burden,drama,1995
210,Wild Bill,western,1995
211,"Browning Version, The",drama,1994
212,Bushwhacked,"adventure, comedy, crime, mystery",1995
213,Burnt by the Sun (Utomlyonnye solntsem),drama,1994
214,Before the Rain (Pred dozhdot),"drama, war",1994
215,Before Sunrise,"drama, romance",1995
216,Billy Madison,comedy,1995
217,"Babysitter, The","drama, thriller",1995
218,Boys on the Side,"comedy, drama",1995
219,"Cure, The",drama,1995
220,Castle Freak,horror,1995
222,Circle of Friends,"drama, romance",1995
223,Clerks,comedy,1994
224,Don Juan DeMarco,"comedy, drama, romance",1995
225,Disclosure,"drama, thriller",1994
227,Drop Zone,"action, thriller",1994
228,Destiny Turns on the Radio,comedy,1995
229,Death and the Maiden,"drama, thriller",1994
230,Dolores Claiborne,"drama, thriller",1995
231,Dumb & Dumber (Dumb and Dumber),"adventure, comedy",1994
232,Eat Drink Man Woman (Yin shi nan nu),"comedy, drama, romance",1994
233,Exotica,drama,1994
234,Exit to Eden,comedy,1994
235,Ed Wood,"comedy, drama",1994
236,French Kiss,"action, comedy, romance",1995
237,Forget Paris,"comedy, romance",1995
238,Far From Home: The Adventures of Yellow Dog,"adventure, children",1995
239,"Goofy Movie, A","animation, children, comedy, romance",1995
240,Hideaway,thriller,1995
241,Fluke,"children, drama",1995
242,Farinelli: il castrato,"drama, musical",1994
243,Gordy,"children, comedy, fantasy",1995
246,Hoop Dreams,documentary,1994
247,Heavenly Creatures,"crime, drama",1994
248,Houseguest,comedy,1994
249,Immortal Beloved,"drama, romance",1994
250,Heavyweights (Heavy Weights),"children, comedy",1995
251,"Hunted, The",action,1995
252,I.Q.,"comedy, romance",1994
253,Interview with the Vampire: The Vampire Chronicles,"drama, horror",1994
254,Jefferson in Paris,drama,1995
255,"Jerky Boys, The",comedy,1995
256,Junior,"comedy, sci-fi",1994
257,Just Cause,"mystery, thriller",1995
258,"Kid in King Arthur's Court, A","adventure, children, comedy, fantasy, romance",1995
259,Kiss of Death,"crime, drama, thriller",1995
260,Star Wars: Episode IV - A New Hope,"action, adventure, sci-fi",1977
261,Little Women,drama,1994
262,"Little Princess, A","children, drama",1995
263,Ladybird Ladybird,drama,1994
265,Like Water for Chocolate (Como agua para chocolate),"drama, fantasy, romance",1992
266,Legends of the Fall,"drama, romance, war, western",1994
267,Major Payne,comedy,1995
269,My Crazy Life (Mi vida loca),drama,1993
270,Love Affair,"drama, romance",1994
271,Losing Isaiah,drama,1995
272,"Madness of King George, The","comedy, drama",1994
273,Mary Shelley's Frankenstein (Frankenstein),"drama, horror, sci-fi",1994
274,Man of the House,comedy,1995
275,Mixed Nuts,comedy,1994
276,Milk Money,"comedy, romance",1994
277,Miracle on 34th Street,drama,1994
278,Miami Rhapsody,comedy,1995
279,My Family,drama,1995
280,Murder in the First,"drama, thriller",1995
281,Nobody's Fool,"comedy, drama, romance",1994
282,Nell,drama,1994
283,New Jersey Drive,"crime, drama",1995
284,New York Cop (Nyû Yôku no koppu),"action, crime",1993
285,Beyond Bedlam,"drama, horror",1993
287,Nina Takes a Lover,"comedy, romance",1994
288,Natural Born Killers,"action, crime, thriller",1994
289,Only You,"comedy, romance",1994
290,Once Were Warriors,"crime, drama",1994
291,Poison Ivy II,"drama, thriller",1996
292,Outbreak,"action, drama, sci-fi, thriller",1995
293,Léon: The Professional (a.k.a. The Professional) (Léon),"action, crime, drama, thriller",1994
294,"Perez Family, The","comedy, romance",1995
295,"Pyromaniac's Love Story, A","comedy, romance",1995
296,Pulp Fiction,"comedy, crime, drama, thriller",1994
298,Pushing Hands (Tui shou),drama,1992
299,Priest,drama,1994
300,Quiz Show,drama,1994
301,Picture Bride (Bijo photo),"drama, romance",1994
302,"Queen Margot (Reine Margot, La)","drama, romance",1994
303,"Quick and the Dead, The","action, thriller, western",1995
304,Roommates,"comedy, drama",1995
305,Ready to Wear (Pret-A-Porter),comedy,1994
306,Three Colors: Red (Trois couleurs: Rouge),drama,1994
307,Three Colors: Blue (Trois couleurs: Bleu),drama,1993
308,Three Colors: White (Trzy kolory: Bialy),"comedy, drama",1994
310,Rent-a-Kid,comedy,1995
311,Relative Fear,"horror, thriller",1994
312,Stuart Saves His Family,comedy,1995
313,"Swan Princess, The","animation, children",1994
314,"Secret of Roan Inish, The","children, drama, fantasy, mystery",1994
315,"Specialist, The","action, drama, thriller",1994
316,Stargate,"action, adventure, sci-fi",1994
